partner_id	gene_symbol	uniprot_id	entrez_id	ensembl_id
3015	purR	P37551	N/A	N/A
3018	malT	P06993	N/A	N/A
3019	ispD	Q46893	N/A	N/A
3020	supH	P75792	N/A	N/A
3021	alsB	P39265	N/A	N/A
3022	mgtA	P80099	N/A	N/A
3023	polA	P19821	N/A	N/A
3024	caiB	P31572	N/A	N/A
3026	NA	P03472	N/A	N/A
3027	N/A	P22629	N/A	N/A
3028	rfbC	P26394	N/A	N/A
3030	AMY1A	P04745	276; 277; 278	ENSG00000174876; ENSG00000187733; ENSG00000237763
3032	bphC	P17297	N/A	N/A
3033	mxiM	P0A1X3	N/A	N/A
3038	speE	Q9WZC2	N/A	N/A
3047	prs	P14193	N/A	N/A
3050	ntd	Q9R5V5	N/A	N/A
3056	pyrF	P08244	N/A	N/A
3057	araF	P02924	N/A	N/A
3059	fabG3	P69167	N/A	N/A
3060	LTA4H	P09960	4048	ENSG00000111144
3062	asd	P44801	N/A	N/A
3067	aqpZ	O68874	N/A	N/A
3069	ALDOA	P04075	226	ENSG00000149925
3070	AHCY	P23526	191	ENSG00000101444
3071	E2	P04015	N/A	N/A
3072	nagA	O34450	N/A	N/A
3075	FHIT	P49789	2272	ENSG00000189283; ENSG00000262683
3076	fbpC	P0A4V4	N/A	N/A
3078	Rv3853	P0A666	N/A	N/A
3080	aroD	Q6GII7	N/A	N/A
3081	aroB	Q6GGU4	N/A	N/A
3082	gcvT	Q9WY54	N/A	N/A
3085	mobA	P32173	N/A	N/A
3086	N/A	P46925	N/A	N/A
3087	nadD	P54455	N/A	N/A
3089	LIP1	P20261	N/A	N/A
3090	csn	P33673	N/A	N/A
3091	malP	P00490	N/A	N/A
3092	leuB	Q56268	N/A	N/A
3093	katE	P21179	N/A	N/A
3095	CFB	P00751	629	ENSG00000241253; ENSG00000239754; ENSG00000242335; ENSG00000243570; ENSG00000243649; ENSG00000241534
3099	tpl	P31012	N/A	N/A
3101	agp	P19926	N/A	N/A
3102	hmp	P39662	N/A	N/A
